,Nr,,Measure package Theme,Measure type,Measure,Measure description,Source of Information ,Timing,Cost/investment,Source of Funding,Owner,Status
0,empty,empty,A greener public and private vehicle fleet ,empty,Electrification of public transport,Provision of electrical infrastructure for public transport ,Stakeholders'meeting feedback from ENEMALTA/NECP PG 82 ,Short/Mid-term,empty,empty,Enemalta plc,Engineering design stage of supply required
1,empty,All,A greener public and private vehicle fleet ,empty,Electrification of government ministry vehicles,Provision of electrical infrastructure for government ministry vehicles,Stakeholders'meeting feedback from ENEMALTA /NECP PG 82 ,Short-term,empty,empty,Enemalta plc,empty
2,empty,All,A greener public and private vehicle fleet ,Raising awareness,Electric vehicles and use of car and bike sharing,"Encourage introduction of electric vehicles and use of car and bike sharing as well as promote active mobility, walking, cycling and use of public transport.",Stakeholders'meeting feedback from ERA/NECP PG 87/BM 272,Short-term,empty,Government ,Government ,Ongoing. Provision of financial schemes and grants which help the purchasing of bikes and pedelecs and Evs
3,empty,All,Provision of safe transport for all ,empty,Traffic calming measures ,"Managing, regulating and developing traffic calming measures in street design.",Stakeholders'meeting feedback from ERA/NSE PG 21,Short/Medium-term,empty,Infrastructure Malta; EU funding programmes,empty,empty
4,empty,All,Increased uptake in sustainable transport modes,empty,Pilot project - encouraging use of active modes of transport in urban areas,"A pilot project is to be implemented in one locality chosen from the Slow Streets Initiative. Building on the work of Slow Streets, traffic management solutions are to be found with the aim to acquire a measurable change in modal shift in that particular locality. Slower speeds, road infrastructure changes to accommodate cycling, walking and use of e-scooters, and collective transport are some of the solutions to be considered. This pilot project is to be accompanied by a study on the impact on business and residents in the area. ERA is to make efforts to increase air monitoring in the area to gauge any improvement. The results of this pilot project is to feed into future measures to be considered in the longer term such as the introduction of controlled parking for residents, starting with high-traffic areas and areas with high parking demand.  The rationale behind this measure would not be revenue generation but to start reclaiming public space from parking uses to other uses that support active and green mobility.              ",Stakeholders'meeting feedback from ERA/BM 275,Medium-term-                                            2025 onwards,empty,National as part of other complimentary measures,empty,empty
5,empty,All,Provision of safe transport for all ,Education ,Raising awareness in schools ,"Supervised walking school bus:  Implement a pilot project in one school whereby children would be supervised walking to school in the same manner that school transport is organized for children who reside farther away. This would apply for students living in close proximity to the school. Depending on the outcome of the exercise and location of school, this exercise would feed into the possible extension of a nationwide project. It is important for safe routes to be implemented for school students to get from home to school and back on foot or cycling. This will also encourage children to understand the benefits of active travel from a young age.Consider extending free school transport indefinitely and study the reasons why parents are reluctant to make use of the service with a view to increase uptake year-on-year.                                                                                                                                                                                      ",Stakeholders'meeting feedback from ERA/NSE PG 10,Medium-term 2024 onwards,empty,empty,empty,empty
6,empty,All,A greener public and private vehicle fleet ,empty,Improve financial grants for more efficient internal combustion engines,"This proposal is oriented towards reducing the average age of Malta’s fleet in the short to medium term, until a higher percentage of charging infrastructure and closer price parity for EVs are achieved. Two options are being presented for private cars: (a) Increase scrappage schemes for ICE vehicles for the whole of the Maltese Islands:  To ensure a higher uptake of cleaner vehicles, it is being proposed that financial grants for cleaner ICE vehicles when scrapping an existing vehicle are increased. Such a measure will eventually lead to a rejuvenation of the age of the fleet whereby more efficient technology of the newer vehicles will lead to a reduction in emissions. It is proposed that the grant is also awarded to individuals who decide not to purchase a new vehicle and therefore renounce their driving license. This grant could be introduced based on the Euro Classification of vehicles scrapped: the lower the Euro Standard of vehicle being scrapped, the higher the grant. If for example, a vehicle owner decides to scrap a Euro 2 vehicle, the grant would be greater than if a Euro 5 vehicle is being scrapped. (b) Extend the current Gozo scheme for the inner harbour area. NSO statistics show that the older fleet is owned by residents in the Southern Harbour (15.6 years in 2019, NSO). It is being proposed that the recent Budget 2022 scheme for Gozo (15.1 years in 2019, NSO) is extended to the inner harbour area, possibly only for the cleanest and smaller ICE vehicles. Both options above are short-term measures and should be reviewed annually.","Stakeholders'meeting feedback from ERA/BM 270, 271",Medium-term  2024 for the inner harbour area  2025/2026 extended for all of Malta ,empty,National ,Government,empty
7,empty,empty,empty,empty,empty,empty,Stakeholders'meeting feedback from ERA,empty,empty,empty,empty,empty
8,empty,empty,empty,empty,empty,empty,Stakeholders'meeting feedback from ERA,empty,empty,empty,empty,empty
9,empty,All,Increased uptake in sustainable transport modes,empty,Grants for pedelecs,"Electric bicycles cost between €800 and €2000, with the Government providing a €500 grant for pedelecs and €2000 for cargo pedelecs. The plan is proposing an increase in the grant amount, to further encourage its purchase and use.  A grant of about €600 is deemed to be adequate. It is important to implement this measure along with provision of adequate cycling lanes and Further pedestrianisation of streets, to enhance safety and encourage its effective uptake.",Stakeholders'meeting feedback from ERA/BM 272,Short-term 2024 onwards,empty,National ,Government ,empty
